,healthy,multiple_diseases,rust,scab,class,image_id
145,0,0,0,1,3,Train_145
1792,0,0,1,0,2,Train_1792
1340,0,0,1,0,2,Train_1340
1199,1,0,0,0,0,Train_1199
1597,1,0,0,0,0,Train_1597
1379,0,0,1,0,2,Train_1379
433,1,0,0,0,0,Train_433
511,0,0,1,0,2,Train_511
1098,0,0,0,1,3,Train_1098
1370,0,0,1,0,2,Train_1370
1815,0,1,0,0,1,Train_1815
390,0,0,1,0,2,Train_390
1766,0,0,1,0,2,Train_1766
253,0,0,0,1,3,Train_253
1810,1,0,0,0,0,Train_1810
931,0,0,1,0,2,Train_931
500,0,0,1,0,2,Train_500
1190,0,0,0,1,3,Train_1190
978,0,0,1,0,2,Train_978
871,0,0,0,1,3,Train_871
1191,0,0,1,0,2,Train_1191
820,0,0,0,1,3,Train_820
1261,1,0,0,0,0,Train_1261
1774,1,0,0,0,0,Train_1774
532,1,0,0,0,0,Train_532
319,0,0,0,1,3,Train_319
254,0,0,1,0,2,Train_254
108,0,0,1,0,2,Train_108
894,0,0,0,1,3,Train_894
524,0,0,0,1,3,Train_524
1630,0,0,1,0,2,Train_1630
19,0,0,0,1,3,Train_19
10,0,0,1,0,2,Train_10
292,0,0,0,1,3,Train_292
1375,0,0,0,1,3,Train_1375
536,0,0,1,0,2,Train_536
975,0,0,1,0,2,Train_975
1282,1,0,0,0,0,Train_1282
1306,1,0,0,0,0,Train_1306
1539,1,0,0,0,0,Train_1539
152,0,0,0,1,3,Train_152
1397,1,0,0,0,0,Train_1397
1522,0,0,0,1,3,Train_1522
770,0,0,0,1,3,Train_770
574,0,0,1,0,2,Train_574
141,0,0,1,0,2,Train_141
1349,1,0,0,0,0,Train_1349
318,0,0,1,0,2,Train_318
497,0,0,1,0,2,Train_497
1609,0,1,0,0,1,Train_1609
1006,0,0,0,1,3,Train_1006
366,1,0,0,0,0,Train_366
1031,1,0,0,0,0,Train_1031
1176,1,0,0,0,0,Train_1176
1102,0,0,1,0,2,Train_1102
582,0,0,1,0,2,Train_582
521,0,0,0,1,3,Train_521
556,0,0,0,1,3,Train_556
1118,0,0,1,0,2,Train_1118
994,0,0,0,1,3,Train_994
890,1,0,0,0,0,Train_890
918,1,0,0,0,0,Train_918
1629,0,0,1,0,2,Train_1629
121,0,0,1,0,2,Train_121
432,1,0,0,0,0,Train_432
172,0,0,0,1,3,Train_172
884,0,0,1,0,2,Train_884
1662,0,1,0,0,1,Train_1662
997,0,0,0,1,3,Train_997
150,0,0,0,1,3,Train_150
1476,1,0,0,0,0,Train_1476
1380,1,0,0,0,0,Train_1380
309,0,0,0,1,3,Train_309
896,1,0,0,0,0,Train_896
92,0,0,1,0,2,Train_92
1364,0,0,1,0,2,Train_1364
200,0,0,0,1,3,Train_200
823,0,0,0,1,3,Train_823
1464,0,0,0,1,3,Train_1464
647,0,0,1,0,2,Train_647
1196,0,0,1,0,2,Train_1196
1603,0,0,1,0,2,Train_1603
69,0,0,1,0,2,Train_69
833,1,0,0,0,0,Train_833
1671,0,0,1,0,2,Train_1671
1132,0,0,0,1,3,Train_1132
1679,0,0,1,0,2,Train_1679
690,0,0,1,0,2,Train_690
1127,0,0,0,1,3,Train_1127
116,0,0,0,1,3,Train_116
325,0,0,0,1,3,Train_325
244,0,0,1,0,2,Train_244
601,1,0,0,0,0,Train_601
278,1,0,0,0,0,Train_278
1656,1,0,0,0,0,Train_1656
939,1,0,0,0,0,Train_939
526,1,0,0,0,0,Train_526
998,0,0,0,1,3,Train_998
621,1,0,0,0,0,Train_621
1619,0,0,0,1,3,Train_1619
709,0,0,0,1,3,Train_709
856,0,0,0,1,3,Train_856
126,0,0,1,0,2,Train_126
666,0,0,1,0,2,Train_666
143,0,0,0,1,3,Train_143
1714,0,0,1,0,2,Train_1714
1316,0,0,1,0,2,Train_1316
832,0,0,1,0,2,Train_832
905,0,1,0,0,1,Train_905
435,0,0,1,0,2,Train_435
59,0,0,1,0,2,Train_59
1029,0,0,1,0,2,Train_1029
1290,0,0,1,0,2,Train_1290
1131,1,0,0,0,0,Train_1131
1043,1,0,0,0,0,Train_1043
1200,0,0,1,0,2,Train_1200
411,0,0,1,0,2,Train_411
342,0,0,1,0,2,Train_342
1182,0,0,0,1,3,Train_1182
848,0,0,1,0,2,Train_848
1104,0,0,0,1,3,Train_1104
1135,0,0,0,1,3,Train_1135
1411,0,0,0,1,3,Train_1411
1229,0,0,1,0,2,Train_1229
491,1,0,0,0,0,Train_491
1540,0,0,1,0,2,Train_1540
104,0,1,0,0,1,Train_104
78,0,0,0,1,3,Train_78
712,0,0,1,0,2,Train_712
1704,0,0,0,1,3,Train_1704
1459,1,0,0,0,0,Train_1459
1674,0,0,1,0,2,Train_1674
843,0,0,1,0,2,Train_843
1528,1,0,0,0,0,Train_1528
1438,1,0,0,0,0,Train_1438
1378,0,0,1,0,2,Train_1378
887,1,0,0,0,0,Train_887
473,0,0,0,1,3,Train_473
1028,0,1,0,0,1,Train_1028
667,0,0,1,0,2,Train_667
192,0,0,0,1,3,Train_192
1719,0,0,0,1,3,Train_1719
261,1,0,0,0,0,Train_261
675,1,0,0,0,0,Train_675
453,0,0,1,0,2,Train_453
1709,0,0,1,0,2,Train_1709
942,1,0,0,0,0,Train_942
1150,0,0,1,0,2,Train_1150
307,1,0,0,0,0,Train_307
1508,1,0,0,0,0,Train_1508
701,1,0,0,0,0,Train_701
458,0,0,1,0,2,Train_458
540,0,0,0,1,3,Train_540
645,0,1,0,0,1,Train_645
1008,0,0,0,1,3,Train_1008
350,0,0,1,0,2,Train_350
1638,0,0,0,1,3,Train_1638
1479,1,0,0,0,0,Train_1479
513,0,0,1,0,2,Train_513
422,0,0,1,0,2,Train_422
1555,1,0,0,0,0,Train_1555
746,1,0,0,0,0,Train_746
767,0,0,1,0,2,Train_767
718,0,0,1,0,2,Train_718
1355,1,0,0,0,0,Train_1355
1210,1,0,0,0,0,Train_1210
1614,1,0,0,0,0,Train_1614
602,0,1,0,0,1,Train_602
581,0,0,0,1,3,Train_581
228,0,0,1,0,2,Train_228
1423,0,0,1,0,2,Train_1423
175,1,0,0,0,0,Train_175
321,0,0,1,0,2,Train_321
1255,0,0,1,0,2,Train_1255
1657,0,0,1,0,2,Train_1657
1688,0,0,0,1,3,Train_1688
1129,0,1,0,0,1,Train_1129
1341,1,0,0,0,0,Train_1341
512,0,0,1,0,2,Train_512
789,0,0,1,0,2,Train_789
1249,0,0,0,1,3,Train_1249
881,1,0,0,0,0,Train_881
1050,0,1,0,0,1,Train_1050
429,0,0,0,1,3,Train_429
109,0,0,1,0,2,Train_109
1277,1,0,0,0,0,Train_1277
869,0,0,0,1,3,Train_869
1314,0,0,1,0,2,Train_1314
1337,0,0,0,1,3,Train_1337
822,0,0,1,0,2,Train_822
844,0,0,0,1,3,Train_844
1013,0,1,0,0,1,Train_1013
231,0,1,0,0,1,Train_231
49,0,0,0,1,3,Train_49
75,0,0,1,0,2,Train_75
1167,0,0,0,1,3,Train_1167
470,0,0,0,1,3,Train_470
639,0,0,1,0,2,Train_639
1318,0,0,1,0,2,Train_1318
1217,0,0,0,1,3,Train_1217
1482,1,0,0,0,0,Train_1482
1259,0,0,0,1,3,Train_1259
872,1,0,0,0,0,Train_872
1545,0,0,1,0,2,Train_1545
265,1,0,0,0,0,Train_265
858,0,0,0,1,3,Train_858
1177,0,0,1,0,2,Train_1177
1320,0,0,1,0,2,Train_1320
1281,0,0,0,1,3,Train_1281
1153,1,0,0,0,0,Train_1153
1044,1,0,0,0,0,Train_1044
588,0,0,1,0,2,Train_588
1574,0,0,1,0,2,Train_1574
488,1,0,0,0,0,Train_488
1548,1,0,0,0,0,Train_1548
534,0,0,1,0,2,Train_534
91,0,0,0,1,3,Train_91
1742,0,0,0,1,3,Train_1742
291,1,0,0,0,0,Train_291
1663,1,0,0,0,0,Train_1663
167,1,0,0,0,0,Train_167
1260,0,0,1,0,2,Train_1260
1108,0,0,1,0,2,Train_1108
1718,0,0,1,0,2,Train_1718
959,1,0,0,0,0,Train_959
142,0,0,0,1,3,Train_142
854,0,0,0,1,3,Train_854
1426,1,0,0,0,0,Train_1426
1047,1,0,0,0,0,Train_1047
1527,0,0,1,0,2,Train_1527
1543,0,0,0,1,3,Train_1543
750,0,0,1,0,2,Train_750
577,0,0,1,0,2,Train_577
1323,0,0,0,1,3,Train_1323
46,1,0,0,0,0,Train_46
1054,1,0,0,0,0,Train_1054
636,0,0,0,1,3,Train_636
147,0,0,0,1,3,Train_147
1376,0,0,1,0,2,Train_1376
1353,0,0,0,1,3,Train_1353
1240,1,0,0,0,0,Train_1240
394,0,0,1,0,2,Train_394
730,1,0,0,0,0,Train_730
670,0,0,1,0,2,Train_670
813,0,0,0,1,3,Train_813
1446,0,0,1,0,2,Train_1446
659,0,0,0,1,3,Train_659
1246,0,0,0,1,3,Train_1246
1788,0,0,1,0,2,Train_1788
651,0,0,0,1,3,Train_651
799,0,0,1,0,2,Train_799
945,0,0,1,0,2,Train_945
1756,0,0,0,1,3,Train_1756
548,0,0,0,1,3,Train_548
550,1,0,0,0,0,Train_550
683,0,0,1,0,2,Train_683
965,0,0,1,0,2,Train_965
1486,0,0,1,0,2,Train_1486
42,0,0,0,1,3,Train_42
1092,1,0,0,0,0,Train_1092
57,0,0,1,0,2,Train_57
418,0,1,0,0,1,Train_418
1386,1,0,0,0,0,Train_1386
929,1,0,0,0,0,Train_929
1554,0,1,0,0,1,Train_1554
576,0,0,0,1,3,Train_576
444,1,0,0,0,0,Train_444
1304,1,0,0,0,0,Train_1304
103,1,0,0,0,0,Train_103
1726,0,0,1,0,2,Train_1726
943,0,0,0,1,3,Train_943
916,0,0,1,0,2,Train_916
642,1,0,0,0,0,Train_642
213,1,0,0,0,0,Train_213
705,0,0,1,0,2,Train_705
661,0,0,0,1,3,Train_661
1755,0,0,1,0,2,Train_1755
1062,0,0,0,1,3,Train_1062
1018,0,1,0,0,1,Train_1018
174,1,0,0,0,0,Train_174
1080,1,0,0,0,0,Train_1080
968,1,0,0,0,0,Train_968
1095,0,0,0,1,3,Train_1095
1612,1,0,0,0,0,Train_1612
171,0,0,1,0,2,Train_171
1561,0,0,1,0,2,Train_1561
1589,0,0,0,1,3,Train_1589
1586,0,0,0,1,3,Train_1586
1069,0,0,1,0,2,Train_1069
1699,0,0,1,0,2,Train_1699
1193,1,0,0,0,0,Train_1193
758,0,0,0,1,3,Train_758
1702,0,0,0,1,3,Train_1702
1489,1,0,0,0,0,Train_1489
1526,0,1,0,0,1,Train_1526
349,0,0,0,1,3,Train_349
1466,1,0,0,0,0,Train_1466
1781,1,0,0,0,0,Train_1781
1635,1,0,0,0,0,Train_1635
618,1,0,0,0,0,Train_618
933,0,0,0,1,3,Train_933
694,1,0,0,0,0,Train_694
1090,0,0,0,1,3,Train_1090
1475,0,0,1,0,2,Train_1475
426,0,0,1,0,2,Train_426
166,0,0,0,1,3,Train_166
14,0,0,1,0,2,Train_14
529,1,0,0,0,0,Train_529
1477,1,0,0,0,0,Train_1477
140,0,0,0,1,3,Train_140
1483,0,0,0,1,3,Train_1483
1272,0,0,1,0,2,Train_1272
1705,0,0,0,1,3,Train_1705
1749,0,0,1,0,2,Train_1749
1551,0,0,1,0,2,Train_1551
716,0,0,0,1,3,Train_716
732,0,1,0,0,1,Train_732
1002,1,0,0,0,0,Train_1002
1267,0,0,1,0,2,Train_1267
1428,0,0,1,0,2,Train_1428
1542,0,0,0,1,3,Train_1542
1347,1,0,0,0,0,Train_1347
1057,0,0,1,0,2,Train_1057
1392,1,0,0,0,0,Train_1392
465,0,0,1,0,2,Train_465
184,0,0,1,0,2,Train_184
1401,0,0,0,1,3,Train_1401
146,1,0,0,0,0,Train_146
52,0,0,0,1,3,Train_52
153,0,0,0,1,3,Train_153
744,0,0,1,0,2,Train_744
215,1,0,0,0,0,Train_215
308,0,0,0,1,3,Train_308
403,0,0,1,0,2,Train_403
296,0,0,0,1,3,Train_296
850,1,0,0,0,0,Train_850
1598,1,0,0,0,0,Train_1598
930,0,0,0,1,3,Train_930
590,0,0,1,0,2,Train_590
117,0,0,1,0,2,Train_117
186,0,0,0,1,3,Train_186
372,0,0,0,1,3,Train_372
281,0,0,0,1,3,Train_281
335,1,0,0,0,0,Train_335
1700,0,0,0,1,3,Train_1700
857,0,1,0,0,1,Train_857
1418,0,0,1,0,2,Train_1418
1513,1,0,0,0,0,Train_1513
769,1,0,0,0,0,Train_769
1782,1,0,0,0,0,Train_1782
1396,1,0,0,0,0,Train_1396
1643,0,0,0,1,3,Train_1643
579,1,0,0,0,0,Train_579
1503,0,0,0,1,3,Train_1503
542,0,0,1,0,2,Train_542
948,1,0,0,0,0,Train_948
245,0,1,0,0,1,Train_245
345,0,0,1,0,2,Train_345
304,1,0,0,0,0,Train_304
610,0,0,1,0,2,Train_610
876,0,0,1,0,2,Train_876
632,0,0,1,0,2,Train_632
242,0,0,0,1,3,Train_242
535,0,1,0,0,1,Train_535
201,1,0,0,0,0,Train_201
733,0,0,0,1,3,Train_733
1338,0,0,0,1,3,Train_1338
90,1,0,0,0,0,Train_90
1388,1,0,0,0,0,Train_1388
1394,0,0,1,0,2,Train_1394
779,0,0,1,0,2,Train_779
1731,1,0,0,0,0,Train_1731
1812,0,0,0,1,3,Train_1812
1608,1,0,0,0,0,Train_1608
962,0,0,1,0,2,Train_962
1416,0,0,0,1,3,Train_1416
1351,0,0,1,0,2,Train_1351
1152,0,0,0,1,3,Train_1152
1283,0,0,1,0,2,Train_1283
1278,0,0,0,1,3,Train_1278
1058,1,0,0,0,0,Train_1058
999,0,0,1,0,2,Train_999
1081,0,0,1,0,2,Train_1081
1456,0,0,0,1,3,Train_1456
1369,0,1,0,0,1,Train_1369
1206,0,0,1,0,2,Train_1206
1284,0,0,1,0,2,Train_1284
461,0,0,1,0,2,Train_461
1263,0,0,1,0,2,Train_1263
573,1,0,0,0,0,Train_573
564,0,0,1,0,2,Train_564
1078,0,0,1,0,2,Train_1078
1454,0,1,0,0,1,Train_1454
883,0,0,0,1,3,Train_883
807,1,0,0,0,0,Train_807
1571,0,0,1,0,2,Train_1571
402,0,0,1,0,2,Train_402
352,0,0,0,1,3,Train_352
796,0,0,1,0,2,Train_796
1529,0,0,0,1,3,Train_1529
1146,1,0,0,0,0,Train_1146
76,0,0,0,1,3,Train_76
791,1,0,0,0,0,Train_791
15,0,0,1,0,2,Train_15
599,0,0,0,1,3,Train_599
1495,0,0,0,1,3,Train_1495
376,1,0,0,0,0,Train_376
826,1,0,0,0,0,Train_826
1701,0,0,0,1,3,Train_1701
1133,1,0,0,0,0,Train_1133
950,0,0,1,0,2,Train_950
1592,0,0,1,0,2,Train_1592
66,1,0,0,0,0,Train_66
1209,0,0,0,1,3,Train_1209
1520,0,0,0,1,3,Train_1520
1100,0,0,0,1,3,Train_1100
783,0,0,0,1,3,Train_783
531,1,0,0,0,0,Train_531
786,1,0,0,0,0,Train_786
1053,0,0,1,0,2,Train_1053
1292,0,0,1,0,2,Train_1292
527,0,0,0,1,3,Train_527
1056,0,0,0,1,3,Train_1056
1690,0,0,0,1,3,Train_1690
1806,0,0,0,1,3,Train_1806
317,1,0,0,0,0,Train_317
279,0,0,1,0,2,Train_279
989,1,0,0,0,0,Train_989
134,1,0,0,0,0,Train_134
434,0,0,1,0,2,Train_434
558,1,0,0,0,0,Train_558
1507,0,0,0,1,3,Train_1507
423,0,0,0,1,3,Train_423
1504,1,0,0,0,0,Train_1504
87,0,0,1,0,2,Train_87
1384,0,0,0,1,3,Train_1384
288,0,0,1,0,2,Train_288
283,0,0,0,1,3,Train_283
480,0,1,0,0,1,Train_480
1753,0,0,1,0,2,Train_1753
1096,0,0,1,0,2,Train_1096
1687,1,0,0,0,0,Train_1687
753,1,0,0,0,0,Train_753
1453,0,0,1,0,2,Train_1453
1644,0,0,1,0,2,Train_1644
821,0,0,1,0,2,Train_821
1562,1,0,0,0,0,Train_1562
1517,1,0,0,0,0,Train_1517
1140,0,0,0,1,3,Train_1140
988,0,0,0,1,3,Train_988
436,0,1,0,0,1,Train_436
794,1,0,0,0,0,Train_794
1500,0,0,0,1,3,Train_1500
1285,1,0,0,0,0,Train_1285
195,1,0,0,0,0,Train_195
1235,0,0,1,0,2,Train_1235
1485,0,0,1,0,2,Train_1485
474,1,0,0,0,0,Train_474
571,0,0,1,0,2,Train_571
155,0,0,0,1,3,Train_155
695,0,0,1,0,2,Train_695
864,1,0,0,0,0,Train_864
471,0,0,0,1,3,Train_471
1768,0,0,0,1,3,Train_1768
1241,0,0,0,1,3,Train_1241
1212,0,0,0,1,3,Train_1212
751,0,0,0,1,3,Train_751
817,1,0,0,0,0,Train_817
741,0,0,1,0,2,Train_741
238,1,0,0,0,0,Train_238
1172,0,0,0,1,3,Train_1172
68,1,0,0,0,0,Train_68
1493,0,0,0,1,3,Train_1493
1046,0,1,0,0,1,Train_1046
1613,0,0,1,0,2,Train_1613
747,1,0,0,0,0,Train_747
868,0,0,0,1,3,Train_868
401,0,0,0,1,3,Train_401
814,0,0,1,0,2,Train_814
1296,0,0,0,1,3,Train_1296
764,0,0,1,0,2,Train_764
1637,0,0,0,1,3,Train_1637
123,1,0,0,0,0,Train_123
1204,0,0,1,0,2,Train_1204
440,0,0,1,0,2,Train_440
1138,0,0,1,0,2,Train_1138
1242,0,0,0,1,3,Train_1242
1511,0,0,1,0,2,Train_1511
1373,0,0,1,0,2,Train_1373
724,0,0,1,0,2,Train_724
187,0,0,1,0,2,Train_187
761,1,0,0,0,0,Train_761
1715,0,0,0,1,3,Train_1715
381,0,0,0,1,3,Train_381
243,0,0,0,1,3,Train_243
161,0,0,0,1,3,Train_161
1729,0,0,1,0,2,Train_1729
326,0,0,0,1,3,Train_326
1184,0,0,1,0,2,Train_1184
494,0,0,0,1,3,Train_494
1342,0,0,1,0,2,Train_1342
1371,1,0,0,0,0,Train_1371
838,0,0,0,1,3,Train_838
970,0,0,0,1,3,Train_970
1604,1,0,0,0,0,Train_1604
392,1,0,0,0,0,Train_392
725,1,0,0,0,0,Train_725
1605,1,0,0,0,0,Train_1605
748,0,0,0,1,3,Train_748
266,1,0,0,0,0,Train_266
71,0,0,1,0,2,Train_71
1738,0,0,1,0,2,Train_1738
139,0,0,1,0,2,Train_139
1655,0,0,1,0,2,Train_1655
1012,1,0,0,0,0,Train_1012
922,0,0,0,1,3,Train_922
310,0,0,0,1,3,Train_310
1798,0,0,1,0,2,Train_1798
578,0,0,1,0,2,Train_578
1084,0,0,1,0,2,Train_1084
780,0,0,0,1,3,Train_780
1087,0,0,1,0,2,Train_1087
698,0,0,0,1,3,Train_698
565,0,0,0,1,3,Train_565
1148,0,0,1,0,2,Train_1148
586,0,0,1,0,2,Train_586
1694,1,0,0,0,0,Train_1694
1488,0,0,0,1,3,Train_1488
1103,1,0,0,0,0,Train_1103
1818,1,0,0,0,0,Train_1818
1162,0,0,0,1,3,Train_1162
462,0,0,1,0,2,Train_462
478,1,0,0,0,0,Train_478
873,0,0,1,0,2,Train_873
1407,0,0,1,0,2,Train_1407
1668,0,0,1,0,2,Train_1668
852,0,0,1,0,2,Train_852
921,1,0,0,0,0,Train_921
1421,0,0,0,1,3,Train_1421
734,0,0,1,0,2,Train_734
1005,1,0,0,0,0,Train_1005
947,1,0,0,0,0,Train_947
1553,0,0,0,1,3,Train_1553
111,1,0,0,0,0,Train_111
655,0,0,0,1,3,Train_655
771,0,0,0,1,3,Train_771
63,1,0,0,0,0,Train_63
1245,1,0,0,0,0,Train_1245
1300,0,0,1,0,2,Train_1300
241,0,0,1,0,2,Train_241
1691,1,0,0,0,0,Train_1691
1174,0,0,0,1,3,Train_1174
1297,1,0,0,0,0,Train_1297
842,0,0,0,1,3,Train_842
982,0,0,1,0,2,Train_982
688,0,0,0,1,3,Train_688
395,0,1,0,0,1,Train_395
1789,1,0,0,0,0,Train_1789
502,1,0,0,0,0,Train_502
1728,0,0,0,1,3,Train_1728
1415,1,0,0,0,0,Train_1415
1387,0,0,1,0,2,Train_1387
1615,1,0,0,0,0,Train_1615
679,1,0,0,0,0,Train_679
424,0,0,0,1,3,Train_424
742,0,0,1,0,2,Train_742
270,0,0,0,1,3,Train_270
587,1,0,0,0,0,Train_587
1494,0,1,0,0,1,Train_1494
212,0,0,1,0,2,Train_212
287,1,0,0,0,0,Train_287
324,0,0,0,1,3,Train_324
1124,0,0,0,1,3,Train_1124
1412,0,0,1,0,2,Train_1412
493,0,1,0,0,1,Train_493
360,1,0,0,0,0,Train_360
1147,0,0,1,0,2,Train_1147
41,0,0,0,1,3,Train_41
102,0,0,1,0,2,Train_102
606,0,0,1,0,2,Train_606
1014,1,0,0,0,0,Train_1014
938,0,0,1,0,2,Train_938
82,0,0,1,0,2,Train_82
